date,IF_close,code,strike,IOIF_delta_price,exp_day,IO_close
2020-01-20,4194.8,IO2002-P-3550                 ,3550,-644.8000000000002,32,0.8
2020-01-20,4194.8,IO2002-P-3600                 ,3600,-594.8000000000002,32,0.8
2020-01-20,4194.8,IO2002-P-3650                 ,3650,-544.8000000000002,32,0.8
2020-01-20,4194.8,IO2002-P-3700                 ,3700,-494.8000000000002,32,1.0
2020-01-20,4194.8,IO2002-P-3750                 ,3750,-444.8000000000002,32,1.4
2020-01-20,4194.8,IO2002-P-3800                 ,3800,-394.8000000000002,32,1.8
2020-01-20,4194.8,IO2002-P-3850                 ,3850,-344.8000000000002,32,3.0
2020-01-20,4194.8,IO2002-P-3900                 ,3900,-294.8000000000002,32,4.8
2020-01-20,4194.8,IO2002-P-3950                 ,3950,-244.80000000000018,32,7.8
2020-01-20,4194.8,IO2002-P-4000                 ,4000,-194.80000000000018,32,12.8
2020-01-20,4194.8,IO2002-P-4050                 ,4050,-144.80000000000018,32,20.0
2020-01-20,4194.8,IO2002-P-4100                 ,4100,-94.80000000000018,32,31.6
2020-01-20,4194.8,IO2002-P-4150                 ,4150,-44.80000000000018,32,48.4
2020-01-20,4194.8,IO2002-P-4200                 ,4200,5.199999999999818,32,69.6
2020-01-20,4194.8,IO2002-P-4250                 ,4250,55.19999999999982,32,97.8
2020-01-20,4194.8,IO2002-P-4300                 ,4300,105.19999999999982,32,131.8
2020-01-20,4194.8,IO2002-P-4350                 ,4350,155.19999999999982,32,169.0
2020-01-20,4194.8,IO2002-P-4400                 ,4400,205.19999999999982,32,210.2
2020-01-20,4194.8,IO2002-P-4450                 ,4450,255.19999999999982,32,266.2
2020-01-20,4194.8,IO2002-P-4500                 ,4500,305.1999999999998,32,313.0
2020-01-20,4194.8,IO2002-P-4550                 ,4550,355.1999999999998,32,360.8
2020-01-20,4194.8,IO2002-P-4600                 ,4600,405.1999999999998,32,409.4
2020-01-20,4194.8,IO2002-P-4650                 ,4650,455.1999999999998,32,458.4
2020-01-21,4128.0,IO2002-P-3550                 ,3550,-578.0,31,1.0
2020-01-21,4128.0,IO2002-P-3600                 ,3600,-528.0,31,1.0
2020-01-21,4128.0,IO2002-P-3650                 ,3650,-478.0,31,1.2
2020-01-21,4128.0,IO2002-P-3700                 ,3700,-428.0,31,2.0
2020-01-21,4128.0,IO2002-P-3750                 ,3750,-378.0,31,2.8
2020-01-21,4128.0,IO2002-P-3800                 ,3800,-328.0,31,4.6
